Comment,Designator,Footprint,LCSC Part #(optional)
0.1uF,C1,C0603,C14663
47 uF,C2,C1210,C77101
0.1uF,C3,C0603,C14663
47 uF,C4,C1210,C77101
47 uF,C5,C1210,C77101
100pF,C6,C0603,C14858
47 uF,C7,C1210,C77101
100pF,C8,C0603,C14858
47 uF,C9,C1210,C77101
47 uF,C10,C1210,C77101
100pF,C11,C0603,C14858
1N4148,D1,LL-34,C81598
1N4148,D2,LL-34,C81598
1N4148,D3,LL-34,C81598
1N4148,D4,LL-34,C81598
1N4148,D5,LL-34,C81598
1N4148,D6,LL-34,C81598
600mA/40V,Q1,SOT23-3,C8512
600mA/40V,Q2,SOT23-3,C8512
600mA/40V,Q3,SOT23-3,C8512
600mA/40V,Q4,SOT23-3,C8512
600mA/40V,Q5,SOT23-3,C8512
600mA/40V,Q6,SOT23-3,C8512
1k,R1,R0603,C21190
1k,R2,R0603,C21190
1k,R3,R0603,C21190
1k,R4,R0603,C21190
1k,R5,R0603,C21190
10k,R6,R0603,C25804
2.727k,R7,R0603,C13167
2.727k,R8,R0603,C13167
1k,R9,R0603,C21190
10k,R10,R0603,C25804
1k,R11,R0603,C21190
330,R12,R0603,C23138
330,R13,R0603,C23138
1k,R14,R0603,C21190
2.727k,R15,R0603,C13167
330,R16,R0603,C23138